author,comment,publishedAt,likeCount
@nobelandih6052,"MENYESAL SY MENONTON VIDEI NI,,KARNA TDK BISA MEMILIKI😂😂😂😂😂",2021-07-01T03:12:39Z,0
@rianmaharaniali4853,Alhamdulillah dpt surprise hp ini dri suami😍,2021-06-30T17:32:59Z,1
@danangekosaputro9203,"Alhamdulilah sy udah pakai yg awesome black,emang untuk spesifikasi ga diragukan lagi apalagi soal hasil kamera.disini sy cuma mau menambahkan,untuk hasil night shoot kamera A52 sendiri hasilnya emang diluar ekspektasi,warnanya bener2 keluar dan pencahayaan juga sangat cukup walau dikondisi low light sekalipun",2021-06-29T19:51:00Z,26
@rizkhyprima7238,1080 60 fps bisa stabil nggak,2022-01-26T05:55:51Z,0
@danangekosaputro9203,@rizkhyprima7238 stabil mas.real colour,2022-01-26T06:33:49Z,0
@rizkhyprima7238,@danangekosaputro9203 ok mantap.otw beli nih hp😋,2022-01-26T06:40:09Z,0
@danangekosaputro9203,"@rizkhyprima7238 wajib dibeli mas,hasilnya keren poool",2022-01-26T11:14:06Z,0
@rizkhyprima7238,@danangekosaputro9203 kalo soal kekuatan nagkep jaringan gimana gan?,2022-01-26T12:25:35Z,0
@alvianjihan4895,IP 67 yg buat nilai plus si,2021-06-29T13:21:24Z,0
@emo.channel605,Cepat panas gk?,2021-06-29T05:57:48Z,0
@juraganselep8726,Beli pakek apa,2021-06-27T21:21:03Z,0
@bangkusmoba6896,HP setara 1 bulan gaji 😥,2021-06-27T17:36:50Z,0
@Trucking89,"Ohhh,,,ternyata masih 4g yaa....kenapa di sponsorin 5G ???",2021-06-27T08:28:33Z,0
@Alment11,"Buat vidio perbandingan hp samsung a52 sama poco f3 bang

Bingung mau pick yg mana",2021-06-26T19:14:14Z,0
@cleonardyudira94,Berarti tahan air dong bang harga nya berapa bang 😎👍👍,2021-06-26T09:37:24Z,0
@abuathiyyah1652,waw..waw.. bahaya sensasinya bro..,2021-06-24T03:43:18Z,0
@alliyulaufarosiadi6720,Udah beli alhamduillah baru paki 2 hari,2021-06-22T14:41:20Z,0
@emilefirson6852,"Beberapa hari pemakaian, salah satu kendala yg cukup berasa buat saya adalah dimensinya, gede banget bikin tangan pegel.
Karena saya emang ga terbiasa dg hp gede, sebelumnya pake zenfone 3, yg ga gede2 banget, dan lebih tipis dibanding A52

Selebihnya KEREN BANGET 😃😃",2021-06-19T06:55:26Z,10
@suryabaskara361,Kualitas speaker nya buat dengerin music gimana bagus gak?,2022-01-30T10:43:49Z,0
@handokobanyuwangi4649,Biasa bos kya hp lainnya,2022-04-13T04:05:06Z,0
@ruijonatosoares5180,Syukurlah bisa nontong video ini pake Samsung A52😇,2021-06-18T16:16:51Z,2
@naduckamerika1056,Kalau di air laut jga tahan tdk bang ?,2021-06-18T08:32:39Z,0
@haerulm1014,"Harga di kota hujan Rp 4,99 JT euy",2021-06-18T06:34:44Z,0
@kadeklhanoez2593,"Alhamdulilah dah ke beli samsung a52, awalnya beli yg a32 tp kurang puas tertarik a52 yg anti air, akhirnya tak tukar tambah, lumayan rugi 1jt😢",2021-06-18T03:39:15Z,0
@kuncian,Haha,2021-09-16T09:31:47Z,0
@edwinputra9353,"Habis lunasin motor, otw beli ni hp kayakny..🙄🙄",2021-06-16T19:32:12Z,0
@iccankpelor9075,Aku sdh punya bossq,2021-06-16T08:00:36Z,0
@dearegina7235,Di taiwan hrganya 6juta lbih..,2021-06-16T05:19:22Z,0
@bananaboatmerak-banten8223,Samsung a52 violet emng gak ada hendset yh? Aku beli gk ada,2021-06-15T16:32:53Z,0
@andhawiwin,Iya gk ada syg,2021-06-29T01:16:43Z,0
@Rizalpermana,"Bagusan mana ya,,,a52 atau iPhone XR???
Aing bingung 😌😌",2021-06-15T14:48:15Z,0
@WahabFams,Alhamdulillah bagus emang A52,2021-06-15T05:41:13Z,0
@YTTrgan,Gak sesuai eksptasi,2021-06-14T12:09:14Z,0
@gatotsuseno8633,Semoga ada rezeki mau tukar tambah sama samsung a30s amin,2021-06-13T06:48:13Z,0
@hilmiahmad59,Samsung ngabisin pkt data,2021-06-12T04:41:10Z,0
@aremraf,Belum 5G ?,2021-06-12T01:49:01Z,0
@Dewi-mg2im,Udah,2021-07-25T13:58:56Z,0
@alexhermawan5260,Nunggu harga 3 jutaan😂,2021-06-11T21:14:13Z,0
@andremahendra9340,Bismillah semoga ada rejeki buat beli samsung galaxy a52 aamiin,2021-06-11T15:00:30Z,0
@cahyoadi2790,Keren,2021-06-11T00:59:39Z,0
@septianichannelberita2331,Alhamdulillah dah punya di kasih majikan,2021-06-09T19:33:48Z,0
@antarisputra2668,"Klo bukan dapat undian,,mana saya punya hp ini..",2021-06-09T16:54:42Z,0
@erinintyanishabrinaramadhi1928,"Jd galau ini atau yg A72 ya? Udh ngadat A50 skrg, iyalah udh diperes dr 2015 😂",2021-06-09T13:08:01Z,0
@Abang-tukang729,"Ketemu di konten sebelah ini channel
Yg sama like n mampir👍👍",2021-06-09T10:57:41Z,0
@Altintopopin,Bisa diajak berenang 🔥,2021-06-09T06:32:28Z,0
@aldipermadi2569,Samsung saingannya iPhone,2021-06-09T04:41:56Z,1
@aldipermadi2569,"Pengen banget, tapi gatau belinya kapan hhmmm...., Semoga beli yang 5G nya aja biar ga nanggung",2021-06-09T04:35:14Z,1
@dodiardiansyah1862,Alhamdulillah udah kebeli yang 8/256😄,2021-06-07T17:02:43Z,0
@pynkamn1716,dapat diharga berapa ya? kalau boleh tahu,2021-06-08T06:47:55Z,0
@havefunaja1910,"Semoga peluncuran perdana nya aq bisa beli, pengen yg a72 5G siiih tp katae gk masuk indo, so nungguin A52 5G ini aja, semoga semoga dan semoga kebeli di hari perdana😍",2021-06-05T12:07:58Z,0
@balabalabelebele,"TAHAN JANGAN BELI, BENTAR LG SAMSUNG MAU NGELUARIN A52 5G YG PAKE SNAPDRAGON 750G...",2021-06-05T03:45:43Z,0
@Nurulhikmah500,*Pengen beli buat ngevlok video nya tidak goyang tidak sprt gempa*,2021-06-04T08:50:43Z,0
@synystergates5390,Daj 5g blum,2021-06-04T06:43:28Z,0
